"n","authors_formatted","authors_raw","publication_year","title","source_container","doi","url","study_country","conflict_type","marine_terrestrial","species_common","openalex_id","tier","metadata_flag"
115,"Castriota, L., Falautano, M., Maggio, T. & Perzia, P.","Luca Castriota; Manuela Falautano; Teresa Maggio; Patrizia Perzia",2022,"The Blue Swimming Crab Portunus segnis in the Mediterranean Sea: Invasion Paths, Impacts and Management Measures","Biology","https://doi.org/10.3390/biology11101473","https://doi.org/10.3390/biology11101473","multiple North African","not stated",,"Blue Swimming Crab","W4303685494","B_regional_corroborated",""
116,"Alami, A. E., Lavieren, E. v. & Chait, A.","Abderrazak El Alami; Els van Lavieren; Abderrahman Chait",2022,"The major threats to the Endangered Barbary macaque Macaca sylvanus in North Africa","European Journal of Ecology","https://doi.org/10.17161/eurojecol.v8i2.16246","https://doi.org/10.17161/eurojecol.v8i2.16246","multiple North African","competition for resources","terrestrial","Barbary macaque","W4319032897","B_regional_corroborated",""
117,"Derdabi, M. R., Aksissou, M. & Toujgani, I.","Mohamed Rida Derdabi; Mustapha Aksissou; Ihssane Toujgani",2022,"Using Fishermen’s Knowledge and GIS to Identify Fishing Grounds, Gears and Species in the Projected Marine Protected Area ‘Jabal Moussa’","Journal of sustainability and environmental management","https://doi.org/10.3126/josem.v1i2.45346","https://doi.org/10.3126/josem.v1i2.45346","multiple North African","not stated","marine","not stated","W4281756481","C_asserted_no_evidence",""
118,"Hale, D. et al.","Daniel Hale; Suelette Dreyfus; Naomi Colvin; Anna Myers; Delphine Halgand-Mishra; Barrett Brown",2021,"6. Silenced by Power: Repression, Isolation &amp; Persecution","transcript Verlag eBooks","https://doi.org/10.1515/9783839457931-008","https://doi.org/10.1515/9783839457931-008","multiple North African",,,,"W4200213882","C_asserted_no_evidence",""
119,"Hichami, N. & Znari, M.","Nawal Hichami; Mohammed Znari",2021,"A management plan for a declining population of the Souss valley tortoise in an arid steppe-land of west-central Morocco","Basic and Applied Herpetology","https://doi.org/10.11160/bah.183","https://doi.org/10.11160/bah.183","Morocco","not stated","terrestrial","tortoises","W3172003661","A_named_country_corroborated",""
120,"Elrawy, A. A. A., Mahmoud, N., Baghdadi, S. & Desoky, A.","Ahmed A. A. Elrawy; N. Mahmoud; S. Baghdadi; A. Desoky",2021,"Assessment of damage caused by rodents in some maize varieties in Farshut area, Qena governorate, Egypt","Archives of Agriculture Sciences Journal/Archives of Agriculture Sciences Journal ","https://doi.org/10.21608/aasj.2021.65638.1057","https://doi.org/10.21608/aasj.2021.65638.1057","Egypt","crop damage","terrestrial","rodents","W3183573263","A_named_country_corroborated",""
121,"Gómez, S., Carreño, A. & Lloret, J.","Sílvia Gómez; Arnau Carreño; Josep Lloret",2021,"Cultural heritage and environmental ethical values in governance models: Conflicts between recreational fisheries and other maritime activities in Mediterranean marine protected areas","Marine Policy","https://doi.org/10.1016/j.marpol.2021.104529","https://doi.org/10.1016/j.marpol.2021.104529","multiple North African","other","marine","not stated","W3162789037","C_asserted_no_evidence",""
122,"Clairbaux, M. & Jessopp, M.","Manon Clairbaux; Mark Jessopp",2021,"D7.9 Review of species-specific collision risks for sea birds","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.6867543","https://doi.org/10.5281/zenodo.6867543","multiple North African","not stated","marine","not stated","W4286380219","C_asserted_no_evidence",""
123,"Waters, S., Harrad, A. E., Bell, S. & Setchell, J. M.","Siân Waters; Ahmed El Harrad; Sandra Bell; Joanna M. Setchell",2021,"Decolonizing Primate Conservation Practice: A Case Study from North Morocco","International Journal of Primatology","https://doi.org/10.1007/s10764-021-00228-0","https://doi.org/10.1007/s10764-021-00228-0","multiple North African","not stated","terrestrial","Barbary macaque","W3185015889","B_regional_corroborated",""
124,"García‐Alfonso, M., Overveld, T. v., Gangoso, L., Serrano, D. & Donázar, J. A.","Marina García‐Alfonso; Thijs van Overveld; Laura Gangoso; David Serrano; José A. Donázar",2021,"Disentangling drivers of power line use by vultures: Potential to reduce electrocutions","The Science of The Total Environment","https://doi.org/10.1016/j.scitotenv.2021.148534","https://doi.org/10.1016/j.scitotenv.2021.148534","multiple North African","persecution or retaliatory killing","terrestrial","Egyptian Vulture","W3175439491","B_regional_corroborated",""
125,"Mullié, W. C.","Wim C. Mullié",2021,"Don't kill your allies : The impact of chemical and biological locust and grasshopper control on birds",,"https://doi.org/10.18174/535131","https://doi.org/10.18174/535131","multiple North African","not stated","not stated","not stated","W3129957199","C_asserted_no_evidence",""
126,"Marrakech., D. A. R. H. I. T. C. M. V. et al.","Departement Anesthesie Reanimation Hopital Ibn Tofail CHU Mohammed VI Marrakech.; N. Tajellijiti; H. Errifaiy; Departement Anesthesie Reanimation Hopital Ibn Tofail CHU Mohammed VI Marrakech.; N. Boukoub; Departement Anesthesie Reanimation Hopital Ibn Tofail CHU Mohammed VI Marrakech.; Y. Elouardi; Departement Anesthesie Reanimation Hopital Ibn Tofail CHU Mohammed VI Marrakech.; M. Khallouki; Departement Anesthesie Reanimation Hopital Ibn Tofail CHU Mohammed VI Marrakech.",2021,"ENVENIMATIONS VIPERINES","International Journal of Advanced Research","https://doi.org/10.21474/ijar01/13428","https://doi.org/10.21474/ijar01/13428","Morocco","other",,"viper","W4235674053","A_named_country_corroborated",""
127,"Bragin, E. A., Horváth, M., Poessel, S. A. & Katzner, T. E.","Evgeny A. Bragin; Márton Horváth; Sharon A. Poessel; Todd E. Katzner",2021,"Eastern imperial eagle Aquila heliaca",,"https://doi.org/10.1201/9781351023627-12","https://doi.org/10.1201/9781351023627-12","multiple North African","persecution or retaliatory killing","not stated","Eastern imperial eagle","W3169892409","B_regional_corroborated",""
128,"Kietzka, G. J., Lecoq, M. & Samways, M. J.","Gabriella J. Kietzka; Michel Lecoq; Michael J. Samways",2021,"Ecological and Human Diet Value of Locusts in a Changing World","Agronomy","https://doi.org/10.3390/agronomy11091856","https://doi.org/10.3390/agronomy11091856","multiple North African","crop damage","terrestrial",,"W3200123832","C_asserted_no_evidence",""
129,"A.Elrawy, A. A., Mahmoud, N., Baghdadi, S. A. S. & Desoky, A. E. S. S.","Ahmed A. A.Elrawy; Nashaat Mahmoud; Saudi A. S. Baghdadi; Abd El-Aleem Saad Soliman Desoky",2021,"Economic Losses Caused By Rodents in Some Cultivars of Rodents in Maize Fields","Research and Analysis Journal","https://doi.org/10.18535/raj/v4i09.02","https://doi.org/10.18535/raj/v4i09.02","Egypt","crop damage","terrestrial","rodents","W3196770489","A_named_country_corroborated",""
130,"Kourantidou, M. et al.","Melina Kourantidou; Ross N. Cuthbert; Phillip J. Haubrock; Ana Novoa; Nigel G. Taylor; Boris Leroy; César Capinha; David Renault; Elena Angulo; Christophe Diagne; Franck Courchamp",2021,"Economic costs of invasive alien species in the Mediterranean basin","NeoBiota","https://doi.org/10.3897/neobiota.67.58926","https://doi.org/10.3897/neobiota.67.58926","multiple North African","not stated","not stated","not stated","W3188375666","B_regional_corroborated",""
131,"Elrawy, A. A. A., Mahmoud, N., Baghdadi, S. A. & Desoky, A. E. S.","Ahmed A. A. Elrawy; Nashaat Mahmoud; Saudi AS Baghdadi; Abd El-Aleem SS Desoky",2021,"Economic losses caused by rodents in some types of maize fields at Farshout District, Qena Governorate, Egypt",,"https://doi.org/10.36811/ijpsh.2021.110031","https://doi.org/10.36811/ijpsh.2021.110031","Egypt","crop damage","terrestrial","rodents","W3183479500","A_named_country_corroborated",""
132,"Ragheb, E. & Hasan, M. W. A.","Evelyn Ragheb; Mohamed Wagih Ahmed Hasan",2021,"First record of Pteroplatytrygon violacea (Bonaparte, 1832) with annotation of cartilaginous fishes by-catch by gill nets (Egyptian Mediterranean)","The Egyptian Journal of Aquatic Research","https://doi.org/10.1016/j.ejar.2021.09.002","https://doi.org/10.1016/j.ejar.2021.09.002","multiple North African","bycatch","marine","not stated","W3203855821","B_regional_corroborated",""
133,"al., K. M. E. e. et al.","Khaled M. El-Haddad et al.; Abdel-Hamid A. M. Ali; Mohammed S. Abdel-Rahman; Saad Mohammed; Fagr Kh. Abdel‐Gawad; Giulia Guerriero; Tarek Temraz",2021,"Herbivorous fish of Sinai marine protected areas (Gulf of Aqaba): Structure baseline for potential thermal stress impact management","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/2021.09.17.460804","https://doi.org/10.1101/2021.09.17.460804","multiple North African","not stated","marine","not stated","W3200894589","B_regional_corroborated",""
134,"Chimienti, G., D'Onghia, G. & Mastrototaro, F.","Giovanni Chimienti; Gianfranco D'Onghia; Francesco Mastrototaro",2021,"Incidental catch of vulnerable species in Mediterranean and Black Sea fisheries - A review","FAO eBooks","https://doi.org/10.4060/cb5405en","https://doi.org/10.4060/cb5405en","multiple North African","bycatch","marine","seabirds, sea turtles, elasmobranchs, marine mammals, macrobenthic invertebrates","W3186672508","B_regional_corroborated",""
135,"Afefe, A. A.","Abdelwahab A. Afefe",2021,"Linking Territorial and Coastal Planning: Conservation Status and Management of Mangrove Ecosystem at the Egyptian - African Red Sea Coast","Aswan University Journal of Environmental Studies","https://doi.org/10.21608/aujes.2021.65951.1013","https://doi.org/10.21608/aujes.2021.65951.1013","multiple North African","other","both","mangrove","W3164722733","B_regional_corroborated",""
136,"Milazzo, M., Cattano, C., Mabruk, S. A. & Giovos, I.","Marco Milazzo; Carlo Cattano; Sara Al Mabruk; Ioannis Giovos",2021,"Mediterranean sharks and rays need action","Science","https://doi.org/10.1126/science.abg1943","https://doi.org/10.1126/science.abg1943","multiple North African","other","marine","sharks and rays","W3126146416","B_regional_corroborated",""
137,"Hattimy, F. E. et al.","Faiçal El Hattimy; Fouad Chafiq; Hermann-Desiré Lallié; A. Mokhtari; Abdelmajid Soulaymani; Rachida Soulaymani Bencheikh",2021,"Ophidian envenomation in Morocco: Analysis of specific hospitalization records (2012-2015)","E3S Web of Conferences","https://doi.org/10.1051/e3sconf/202131901071","https://doi.org/10.1051/e3sconf/202131901071","Morocco","other","terrestrial","Snake","W3213140225","A_named_country_corroborated",""
138,"Clairbaux, M. & Jessopp, M.","Manon Clairbaux; Mark Jessopp",2021,"Review of species-specific collision risks for seabirds","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.6974012","https://doi.org/10.5281/zenodo.6974012","multiple North African","other","marine","seabirds","W4301525508","C_asserted_no_evidence",""
139,"Eikelboom, J. A.","Jasper A.J. Eikelboom",2021,"Sentinel animals : Enriching artificial intelligence with wildlife ecology to guard rhinos",,"https://doi.org/10.18174/544693","https://doi.org/10.18174/544693","multiple North African","persecution or retaliatory killing","terrestrial","rhino","W4237097071","C_asserted_no_evidence",""
140,"Porcher, I. F., Darvell, B. & Ziegler, I.","Ila France Porcher; B.W. Darvell; Iris Ziegler",2021,"Shark Conservation – Analysis and Synthesis","Preprints.org","https://doi.org/10.20944/preprints202102.0145.v3","https://doi.org/10.20944/preprints202102.0145.v3","multiple North African","bycatch","marine","shark","W4242830021","C_asserted_no_evidence",""
141,"Porcher, I. F. & Darvell, B.","Ila France Porcher; B.W. Darvell",2021,"Shark Conservation – Analysis and Synthesis","Preprints.org","https://doi.org/10.20944/preprints202102.0145.v4","https://doi.org/10.20944/preprints202102.0145.v4","multiple North African","bycatch","marine","shark","W4206431590","C_asserted_no_evidence",""
142,"Khalil, R. L.","Rania Lee Khalil",2021,"Sinai: Tourism, Colonialism, and Sea","Journal of Embodied Research","https://doi.org/10.16995/jer.85","https://doi.org/10.16995/jer.85","multiple North African","other",,"whales, sea turtles, dolphins, sharks","W3165463768","B_regional_corroborated",""
143,"Mili, S. et al.","Sami Mili; Rim Ennouri; Manel Fatnassi; Tahani Chargui; Hajer Zarrouk; Houcine Laouar",2021,"Status of Chinese Carp Fisheries in Tunisian Freshwater Reservoirs: Threats and Opportunities","Journal of Biomedical Research & Environmental Sciences","https://doi.org/10.37871/jbres1336","https://doi.org/10.37871/jbres1336","Tunisia","not stated","both","Chinese carp","W3210000181","A_named_country_corroborated",""
144,"Mahdy, A., Ghallab, A., Madkour, H. A. & Osman, A. G. M.","Aldoushy Mahdy; Ahmed Ghallab; Hashem A. Madkour; Alaa G. M. Osman",2021,"Status of Indo-Pacific Bottlenose Dolphin, Tursiops aduncus (Family Delphinidae: Order Cetacea) in the Northern Protected Islands, Hurghada, Red Sea, Egypt","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2021.149307","https://doi.org/10.21608/ejabf.2021.149307","Egypt","other","marine","Indo-Pacific Bottlenose Dolphin","W3134637697","A_named_country_corroborated",""
145,"Catalano, G. et al.","Giusy Catalano; Valentina Crobe; Alice Ferrari; R. Baino; Daniela Massi; Antonino Titone; Cecilia Mancusi; Fabrizio Serena; Rita Cannas; Laura Carugati; Farid Hemida; Chiara Manfredi; Riccardo Melis; Giuseppe Scarcella; Letizia Sión; Marco Stagioni; Fausto Tinti; Alessia Cariani",2021,"Strongly structured populations and reproductive habitat fragmentation increase the vulnerability of the Mediterranean starry rayRaja asterias(Elasmobranchii, Rajidae)","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3739","https://doi.org/10.1002/aqc.3739","multiple North African","bycatch","marine","Mediterranean starry ray","W3215690827","C_asserted_no_evidence",""
146,"Abdeljalil, A. B. M., Znari, M., Said, e., Bellout, S. & Mohamed, N.","Ait Baamrane Moulay Abdeljalil; Mohammed Znari; el Said; Siham Bellout; Naimi Mohamed",2021,"The Last-Surviving Moroccan Dorcas Gazelle (Gazella dorcas massaesyla) Viability Analysis [M’Sabih Talaa Reserve, Morocco]","International Journal of Zoological Investigations","https://doi.org/10.33745/ijzi.2021.v07i01.017","https://doi.org/10.33745/ijzi.2021.v07i01.017","Morocco","not stated","terrestrial","MT gazelle","W3196772912","A_named_country_corroborated",""
147,"Vella, A. et al.","Adriana Vella; Sinéad Murphy; Joan Giménez; Renaud de Stephanis; Barbara Mussi; Joseph G. Vella; Kamel Larbi Doukara; Daniela Silvia Pace",2021,"The conservation of the endangered Mediterranean common dolphin (Delphinus delphis): Current knowledge and research priorities","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3538","https://doi.org/10.1002/aqc.3538","multiple North African",,"marine","Mediterranean common dolphin","W3133867487","C_asserted_no_evidence",""
148,"[Authors not resolved in OpenAlex]",,2021,"Traditional fishery of Dolphinfish (Coryphaena hippurus) in the Gulf of Hammamet, Tunisia: implications for management of the entire Mediterranean fishery","Journal of Chemical Biological and Physical Sciences","https://doi.org/10.24214/jcbps.b.11.1.13751","https://doi.org/10.24214/jcbps.b.11.1.13751","multiple North African","not stated","marine","dolphinfish","W4205402711","B_regional_corroborated",""
149,"Veracini, C.","Cecilia Veracini",2020,"A Landscape without Nonhuman Primates? The Case of the Barbary Macaque, Macaca sylvanus, (Linnaeus, 1758) and Its Interaction with Humans throughout Recorded Time","Humanities","https://doi.org/10.3390/h9030092","https://doi.org/10.3390/h9030092","multiple North African","not stated","not stated","Barbary Macaque","W3081500063","C_asserted_no_evidence",""
150,"Madzivanzira, T. C., South, J., Wood, L. E., Nunes, A. L. & Weyl, O. L. F.","Takudzwa C. Madzivanzira; Josie South; Louisa E. Wood; Ana L. Nunes; Olaf L. F. Weyl",2020,"A Review of Freshwater Crayfish Introductions in Africa","Reviews in Fisheries Science & Aquaculture","https://doi.org/10.1080/23308249.2020.1802405","https://doi.org/10.1080/23308249.2020.1802405","multiple North African","other","both","freshwater crayfish","W3048716714","B_regional_corroborated",""
151,"Cherkaoui, S. I., Boukherouk, M., Lakhal, T., Aghzar, A. & Youssfi, L. E.","Sidi Imad Cherkaoui; Mohamed Boukherouk; Tarik Lakhal; Adil Aghzar; Lahcen El Youssfi",2020,"Conservation Amid COVID-19 Pandemic: Ecotourism Collapse Threatens Communities and Wildlife in Morocco","E3S Web of Conferences","https://doi.org/10.1051/e3sconf/202018301003","https://doi.org/10.1051/e3sconf/202018301003","multiple North African","not stated","not stated","not stated","W3047050104","B_regional_corroborated",""
152,"Belmahi, A. E. et al.","Alae Eddine Belmahi; Youcef Belmahi; Mouloud Benabdi; Amaria Latefa Bouziani; Samira Ait Darna; Yahia Bouslah; Mohamed Bendoula; Mohamed Bouderbala",2020,"First study of sea turtle strandings in Algeria (western Mediterranean) and associated threats: 2016–2017","Herpetozoa","https://doi.org/10.3897/herpetozoa.33.e48541","https://doi.org/10.3897/herpetozoa.33.e48541","Algeria","bycatch","marine","loggerhead turtle, leatherback turtle, green turtle","W3029444820","A_named_country_corroborated",""
153,"Fritz, J. & Janák, J.","Johannes Fritz; Jiří Janák",2020,"How human intervention and climate change shaped the fate of the Northern Bald Ibis from ancient Egypt to the presence: an interdisciplinary approach to extinction and recovery of an iconic bird species","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/2020.11.25.397570","https://doi.org/10.1101/2020.11.25.397570","multiple North African","not stated","not stated","Northern Bald Ibis","W3108294470","B_regional_corroborated",""
154,"Ali, M., El-Kattan, M. S. & Hassan, Y. A. M.","Magdi Ali; Mohamed S. El-Kattan; Yasmine A. M. Hassan",2020,"Impact of Nile Crocodiles on Fish Production in Lake Nasser","Aswan University Journal of Environmental Studies","https://doi.org/10.21608/aujes.2020.124535","https://doi.org/10.21608/aujes.2020.124535","multiple North African","competition for resources",,,"W3108985652","B_regional_corroborated",""
155,"Alfonso, M. G.","Marina García Alfonso",2020,"Individual and environmental drivers of resource use in an endangered vulture: integrating movement, spatial and social ecology","Dialnet (Universidad de la Rioja)",,"https://openalex.org/W3037333349","multiple North African",,"terrestrial","Egyptian vultures","W3037333349","B_regional_corroborated",""
156,"Oppel, S. et al.","Steffen Oppel; Volen Arkumarev; Samuel Bakari; Vladimir Dobrev; Victoria Saravia; Solomon Adefolu; Lale Aktay Sözüer; Paul T. Apeverga; Şafak Arslan; Yahkat Barshep; Taulant Bino; Anastasios Bounas; Turan Çetin; Maher Dayyoub; Dobromir Dobrev; Klea Duro; Laith El-Moghrabi; Hana ElSafoury; Endris Ahmed; Nabegh Ghazal Asswad; Junior Hanson Harry; Sam Ivande; Sharif Al Jbour; Eleftherios Kapsalis; Elżbieta Kret; Bruktawit Abdu Mahamued; Shiiwua A. Manu; Solomon Mengistu; Abdoul Razack Moussa Zabeirou; Sulaiman Inuwa Muhammad; Slave Nakev; Alex Ngari; Joseph Onoja; Maher Osta; Serdar Özuslu; Nenad Petrovski; Georgi Popgeorgiev; Cloé Pourchier; Alazar Ruffo; Mohammed Shobrak; Lavrentis Sidiropoulos; Theodora Skartsi; Özgün Sözüer; Kalliopi Stara; Million Tesfaye; Mirjan Topi; Dimitrios Vavylis; Metodija Velevski; Zydjon Vorpsi; Mengistu Wondafrash; Erald Xeka; Can Yeniyurt; Emil Yordanov; Stoyan C. Nikolov",2020,"Major threats to a migratory raptor vary geographically along the eastern Mediterranean flyway","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/2020.12.16.422983","https://doi.org/10.1101/2020.12.16.422983","multiple North African","persecution or retaliatory killing",,"Egyptian Vulture","W3110888851","B_regional_corroborated",""
157,"Abdelhakim, W.","Walaa Abdelhakim",2020,"Scaring Birds: The concept of the Scarecrow in Ancient Egypt","International Journal of Heritage, Tourism, and Hospitality","https://doi.org/10.21608/ijhth.2020.154143","https://doi.org/10.21608/ijhth.2020.154143","multiple North African","crop damage","terrestrial","birds","W3134709212","B_regional_corroborated",""
158,"Mahrad, B. E. et al.","Badr El Mahrad; Samuel Abalansa; Alice Newton; John Icely; Maria Snoussi; Ilias Kacimi",2020,"Social-Environmental Analysis for the Management of Coastal Lagoons in North Africa","Frontiers in Environmental Science","https://doi.org/10.3389/fenvs.2020.00037","https://doi.org/10.3389/fenvs.2020.00037","multiple North African","not stated","both","not stated","W3017956184","B_regional_corroborated",""
159,"El‐Dakar, A. Y., Aly, S. M., El-Aiatt, A. & Al-Beak, A.","Ashraf Y. El‐Dakar; Salah M. Aly; Attia El-Aiatt; Ahmed Al-Beak",2020,"Status of Sepia officinalis and 19 Main Fisheries Species Caught from Southeast Mediterranean Sea, North Sinai, Egypt.","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2020.116577","https://doi.org/10.21608/ejabf.2020.116577","multiple North African","not stated","marine","common cuttlefish","W3090749294","B_regional_corroborated",""
160,"Böhm, C. et al.","Christiane Böhm; Christopher G. R. Bowden; Philip J. Seddon; Taner Hatipoğlu; Widade Oubrou; Mohammed El Bekkay; Miguel Ángel Quevedo; Johannes Fritz; Can Yeniyurt; Jose M. Garcia Lopez; Jorge F. Orueta; Didone Frigerio; Markus Unsöld",2020,"The northern bald ibis Geronticus eremita: history, current status and future perspectives","Oryx","https://doi.org/10.1017/s0030605320000198","https://doi.org/10.1017/s0030605320000198","multiple North African","not stated","not stated","northern bald ibis","W3108367984","B_regional_corroborated",""
161,"Uhm, D. v.","Daan van Uhm",2020,"Wildlife trafficking and criminogenic asymmetries in a globalised world",,"https://doi.org/10.4324/9781315207094-30","https://doi.org/10.4324/9781315207094-30","multiple North African","other","both","rhino, tiger, Barbary macaques, sturgeon","W3016553572","B_regional_corroborated",""
162,"Doukara, K. L.","Kamel Larbi Doukara",2019,"A stranding record of the short‐beaked common dolphin (Delphinus delphis) in Algerian West Coast, during 2008–2012","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3207","https://doi.org/10.1002/aqc.3207","Algeria","bycatch","marine","short‐beaked common dolphin","W2981509526","A_named_country_corroborated",""
163,"Dobamo, T.","Taye Dobamo",2019,"Ecology of Caracals and Their Distribution in Africa: A Review Paper","Journal of Biology Agriculture and Healthcare","https://doi.org/10.7176/jbah/9-13-05","https://doi.org/10.7176/jbah/9-13-05","multiple North African","not stated","not stated","caracal","W4245410401","B_regional_corroborated",""
164,"Saïdi, B., Karaa, S., Enajjar, S. & Bradaï, M. N.","Béchir Saïdi; Sami Karaa; Samira Enajjar; Mohamed Nejmeddine Bradaï",2019,"Effects of fishing practice changes on pelagic shark longline captures in the Gulf of Gabes, Tunisia","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3226","https://doi.org/10.1002/aqc.3226","multiple North African","not stated","marine","sandbar shark","W2991073745","B_regional_corroborated",""
165,"Egerton, F. N.","Frank N. Egerton",2019,"History of Ecological Sciences, Part 61C: Marine Biogeography, 1690s–1940s","Bulletin of the Ecological Society of America","https://doi.org/10.1002/bes2.1486","https://doi.org/10.1002/bes2.1486","multiple North African","not stated","both","oceanic birds, seal family, sea turtles, iguana, crabs, marine snakes","W2908415939","C_asserted_no_evidence",""
166,"Waters, S., Harrad, A. E., Bell, S. & Setchell, J. M.","Siân Waters; Ahmed El Harrad; Sandra Bell; Joanna M. Setchell",2019,"Interpreting People’s Behavior Toward Primates Using Qualitative Data: a Case Study from North Morocco","International Journal of Primatology","https://doi.org/10.1007/s10764-019-00087-w","https://doi.org/10.1007/s10764-019-00087-w","Morocco","not stated","terrestrial","Barbary macaque","W2943305201","A_named_country_corroborated",""
167,"Fumagalli, M. et al.","Maddalena Fumagalli; Amina Cesario; Marina Costa; Giuseppe Notarbartolo di Sciara; John Harraway; Elisabeth Slooten",2019,"Population ecology and the management of whale watching operations on a data‐deficient dolphin population","Ecology and Evolution","https://doi.org/10.1002/ece3.5565","https://doi.org/10.1002/ece3.5565","Egypt","not stated","marine","spinner dolphins","W2969873458","A_named_country_corroborated",""
168,"AHMED, H., Eisa, Y. A. & Rizk, A.","Hany AHMED; Y. A. Eisa; Ahmed Rizk",2019,"RODENT DAMAGE AND CONTROL IN WHEAT GROWING STAGES, SOHAG GOVERNORATE, EGYPT","Egyptian Journal of Agricultural Research","https://doi.org/10.21608/ejar.2019.68569","https://doi.org/10.21608/ejar.2019.68569","Egypt","crop damage",,"Norway rat","W3003427061","A_named_country_corroborated",""
169,"Saïdi, B. et al.","Béchir Saïdi; Samira Enajjar; Sami Karaa; Khaled Echwikhi; Imed Jribi; Mohamed Nejmeddine Bradaï",2019,"Shark pelagic longline fishery in the Gulf of Gabes: Inter-decadal inspection reveals management needs","Mediterranean Marine Science","https://doi.org/10.12681/mms.18862","https://doi.org/10.12681/mms.18862","multiple North African","not stated","marine","not stated","W2969783162","B_regional_corroborated",""
170,"Oukkache, N. et al.","Naoual Oukkache; Eljaoudi Rachid; Sébastien Larréché; Salma Chakir; q Fouad Chafi; Abdelaziz Hmyene; Mion Georges",2019,"Snake bites in morocco: Progress and challenges","Advances in Toxicology and Toxic Effects","https://doi.org/10.17352/atte.000004","https://doi.org/10.17352/atte.000004","multiple North African","attacks on humans","terrestrial","snake","W2992131427","B_regional_corroborated",""
171,"Azzurro, E. et al.","Ernesto Azzurro; Valerio Sbragaglia; Jacopo Cerri; Michel Bariche; Luca Bolognini; Jamila Ben Souissi; Giulio Busoni; Salvatore Coco; Chryssanthi Antoniadou; Joaquim Garrabou; Fabrizio Gianni; Fabio Grati; Jerina Kolitari; Letterio Guglielmo; Lovrence Lipej; Carlotta Mazzoldi; Nicoletta Milone; Federica Pannacciulli; Ana Pešić; Yianna Samuel-Rhoads; Luca Saponari; Jovana Tomanić; Nur Eda Topçu; Giovanni Vargiu; Paula Moschella CIESM",2019,"The shifting distribution of Mediterranean fishes: a spatio-temporal assessment based on Local Ecological Knowledge.","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.3142266","https://doi.org/10.5281/zenodo.3142266","multiple North African","not stated","marine","not stated","W4288349131","C_asserted_no_evidence",""
172,"Kyne, P. M. et al.","Peter M. Kyne; Rima W. Jabado; Cassandra L. Rigby; Dharmadi; Mauvis Gore; Caroline M. Pollock; Katelyn B. Herman; Jessica Cheok; David A. Ebert; Colin A. Simpfendorfer; Nicholas K. Dulvy",2019,"The thin edge of the wedge: extremely high extinction risk in wedgefishes and giant guitarfishes","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/595462","https://doi.org/10.1101/595462","multiple North African","bycatch","marine",,"W2931379993","C_asserted_no_evidence",""
173,"Adams, K. R.","Kye R. Adams",2019,"Understanding and reducing the impact of fishing on discarded sharks and rays with innovative new tools for conservation and research","Research Online (University of Wollongong)",,"https://openalex.org/W3093465490","multiple North African","bycatch","marine","sharks and rays","W3093465490","C_asserted_no_evidence",""
174,"Degaga, A.","Abera Degaga",2019,"Water Hyacinth (Eichhornia crassipes) Biology and Its Impacts on Ecosystem, Biodiversity, Economy and Human Well-being",,"https://doi.org/10.7176/jnsr/9-12-04","https://doi.org/10.7176/jnsr/9-12-04","multiple North African","not stated","not stated","Water Hyacinth","W2954627580","B_regional_corroborated",""
175,"Archer, E. et al.","Emma Archer; Luthando Dziba; K. Mulongoy; Malebajoa Anicia Maoela; Michéle Walters; Reinette Biggs; Marie-Christine Cormier-Salem; F. DeClerck; Mariteuw Chimère Diaw; Amy E. Dunham; Pierre Failler; Christopher Gordon; Khaled Harhash; Robert Kasisi; Fred Kizito; Wanja Dorothy Nyingi; Nicholas Oguge; Balgis Osman-Elasha; Lindsay C. Stringer; Luis Tito de Morais; A.E. Assogbadjo; Benis N. Egoh; Marwa Waseem A. Halmy; Katja Heubach; Adelina Mensah; Laura Pereira; Nadia Sitas",2018,"","City Research Online (City University London)",,"https://openalex.org/W2919734443","multiple North African","not stated","both","not stated","W2919734443","C_asserted_no_evidence",""
176,"Issa, M. & El-Bakhshawngi, M.","M. Issa; M. El-Bakhshawngi",2018,"AN ESTIMATION OF BIRD DAMAGES ON SOME FIELD, VEGETABLE AND FRUIT CROPS AT SHARKIA GOVERNORATE, EGYPT","Zagazig Journal of Agricultural Research","https://doi.org/10.21608/zjar.2018.48571","https://doi.org/10.21608/zjar.2018.48571","Egypt","crop damage","terrestrial","hooded crow, house sparrow","W2976496276","A_named_country_corroborated",""
